,traffic_source,total_sessions,product_view_sessions,add_to_cart_sessions,purchase_sessions,view_to_cart_percentage,cart_to_purchase_percentage,view_to_purchase_percentage,avg_view_to_cart_sec,avg_cart_to_purchase_sec
0,(direct) / (none),3323,3323,3323,3323,100.0,100.0,100.0,57.58,738.09
1,google / organic,1104,1104,1104,1104,100.0,100.0,100.0,58.83,848.57
2,google / cpc,133,133,133,133,100.0,100.0,100.0,21.77,813.59
3,dfa / cpm,51,51,51,51,100.0,100.0,100.0,24.63,598.33
4,mail.google.com / referral,17,17,17,17,100.0,100.0,100.0,-31.24,916.06
5,sites.google.com / referral,13,13,13,13,100.0,100.0,100.0,81.69,552.38
6,google / cpm,13,13,13,13,100.0,100.0,100.0,38.23,656.69
7,bing / organic,12,12,12,12,100.0,100.0,100.0,36.75,863.33
8,yahoo / organic,12,12,12,12,100.0,100.0,100.0,19.08,778.33
9,dealspotr.com / referral,8,8,8,8,100.0,100.0,100.0,-1.5,795.88
